% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f37_1.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 29 2024, 16:10
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
43                       1.4999999999999999E-5    5.0E-4                   8.771440243090154        1.031659672329095
44                       1.4999999999999999E-5    5.0E-4                   8.973810107706736        1.0558122483514545
45                       1.4999999999999999E-5    5.0E-4                   9.176085446466455        1.0799760010555666
46                       1.4999999999999999E-5    5.0E-4                   9.379755341117388        1.1041332373042891
47                       1.4999999999999999E-5    5.0E-4                   9.581951261967362        1.1283194934554501
48                       1.4999999999999999E-5    5.0E-4                   9.784215526344493        1.1525170349238252
49                       1.4999999999999999E-5    5.0E-4                   9.986515201280326        1.1767249246348896
50                       1.4999999999999999E-5    5.0E-4                   10.188846741664321       1.2009416090643086
51                       1.4999999999999999E-5    5.0E-4                   10.391201161285935       1.22516679617463
52                       1.4999999999999999E-5    5.0E-4                   10.593576101980318       1.2494001300207387
