% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f29-1.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 29 2024, 13:45
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
27                       1.7E-5                   -5.0E-4                  9.497824341122964        1.6937485051916568
27.5                     1.7E-5                   -5.0E-4                  9.672252556840501        1.725349999437686
28                       1.7E-5                   -5.0E-4                  9.846727818088958        1.756962706781838
28.5                     1.7E-5                   -5.0E-4                  10.021227683994248       1.788585528603054
29                       1.7E-5                   -5.0E-4                  10.195748428237078       1.8202173171017648
29.5                     1.7E-5                   -5.0E-4                  10.370286212462492       1.851857613934886
30                       1.7E-5                   -5.0E-4                  10.544838982162847       1.8835061244954119
30.5                     1.7E-5                   -5.0E-4                  10.719402488137494       1.915162622222205
31                       1.7E-5                   -5.0E-4                  10.893976253146544       1.9468269480844143
31.5                     1.7E-5                   -5.0E-4                  11.0685594328285         1.9784990360965686
