% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f20.mph
% Version:            COMSOL 6.2.0.290
% Date:               Aug 9 2024, 12:31
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
200                      1.9999999999999998E-5    -5.0E-4                  11.368292709764614       3.035278588766623
210                      1.9999999999999998E-5    -5.0E-4                  11.932761798848144       3.188220830790815
220                      1.9999999999999998E-5    -5.0E-4                  12.496641113854302       3.3412573702839055
230                      1.9999999999999998E-5    -5.0E-4                  13.059987634441391       3.4943762902084217
240                      1.9999999999999998E-5    -5.0E-4                  13.622885940397047       3.647563363747217
250                      1.9999999999999998E-5    -5.0E-4                  14.185710799691918       3.8008030984287977
260                      1.9999999999999998E-5    -5.0E-4                  14.748453546975298       3.9540641496890636
270                      1.9999999999999998E-5    -5.0E-4                  15.311091776617474       4.107340701894898
