% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f20.mph
% Version:            COMSOL 6.2.0.290
% Date:               Aug 9 2024, 12:29
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
200                      2.4E-5                   5.0E-4                   12.769138788241804       2.976514369657295
210                      2.4E-5                   5.0E-4                   13.402053130274162       3.126703306617486
220                      2.4E-5                   5.0E-4                   14.03467313290043        3.2770149739530225
230                      2.4E-5                   5.0E-4                   14.667198932113592       3.4274316165461727
240                      2.4E-5                   5.0E-4                   15.29959309171371        3.577917803407079
250                      2.4E-5                   5.0E-4                   15.93181725540505        3.728460790411642
260                      2.4E-5                   5.0E-4                   16.563487467713188       3.879037434433151
270                      2.4E-5                   5.0E-4                   17.194541905179932       4.029652531311996
