 ,Area,Mean,StdDev,Min,Max,Angle,Circ.,AR,Round,Solidity,Length
1,0.039,135.435,15.859,99,175,90,0.209,0.000,0.000,NaN,1.525
2,0.041,141.515,14.396,108,175,90,0.196,0.000,0.000,NaN,1.625
3,0.041,135.569,14.903,108,176,90,0.199,0.000,0.000,NaN,1.600
4,0.048,129.053,11.671,101,154,90,0.170,0.000,0.000,NaN,1.875
5,0.039,115.873,11.549,73,140,90,0.206,0.000,0.000,NaN,1.550
6,0.041,122.923,15.292,88,156,90,0.199,0.000,0.000,NaN,1.600
7,0.044,140.282,16.973,98,172,90,0.182,0.000,0.000,NaN,1.750
8,0.041,135.477,14.902,112,177,90,0.199,0.000,0.000,NaN,1.600
9,0.038,140.400,15.908,107,175,90,0.217,0.000,0.000,NaN,1.475
10,0.041,141.000,16.408,105,176,90,0.196,0.000,0.000,NaN,1.625
11,0.044,137.662,14.717,104,169,90,0.182,0.000,0.000,NaN,1.750
12,0.044,133.971,18.538,104,188,90,0.185,0.000,0.000,NaN,1.725
13,0.038,124.311,15.053,99,154,90,0.213,0.000,0.000,NaN,1.500
14,0.042,156.597,18.690,118,202,90,0.193,0.000,0.000,NaN,1.650
15,0.038,144.508,15.260,101,179,90,0.213,0.000,0.000,NaN,1.500
16,0.039,131.097,14.067,95,173,90,0.209,0.000,0.000,NaN,1.525
17,0.043,150.824,21.916,108,199,90,0.190,0.000,0.000,NaN,1.675
18,0.040,154.578,17.093,118,189,90,0.203,0.000,0.000,NaN,1.575
19,0.038,146.733,15.874,115,198,90,0.217,0.000,0.000,NaN,1.475
20,0.036,113.456,14.330,82,151,90,0.228,0.000,0.000,NaN,1.400
21,0.041,130.061,13.075,99,157,90,0.196,0.000,0.000,NaN,1.625
22,0.041,137.545,16.256,105,183,90,0.196,0.000,0.000,NaN,1.625
23,0.036,118.897,15.385,83,147,90,0.224,0.000,0.000,NaN,1.425
24,0.045,132.333,20.678,75,189,90,0.179,0.000,0.000,NaN,1.775
25,0.043,168.797,21.579,137,209,90,0.188,0.000,0.000,NaN,1.700
