 ,Area,Mean,StdDev,Min,Max,Angle,Circ.,AR,Round,Solidity,Length
1,0.042,125.672,10.890,99,157,90,0.193,0.000,0.000,NaN,1.650
2,0.046,128.541,23.342,86,209,90,0.175,0.000,0.000,NaN,1.825
3,0.046,120.110,12.908,88,148,90,0.177,0.000,0.000,NaN,1.800
4,0.047,119.827,12.900,94,150,90,0.172,0.000,0.000,NaN,1.850
5,0.039,124.274,12.616,98,150,90,0.209,0.000,0.000,NaN,1.525
6,0.045,121.292,11.281,102,153,90,0.179,0.000,0.000,NaN,1.775
7,0.041,119.477,17.368,44,157,90,0.199,0.000,0.000,NaN,1.600
8,0.045,124.583,15.368,91,176,90,0.179,0.000,0.000,NaN,1.775
9,0.046,125.216,18.612,82,172,90,0.175,0.000,0.000,NaN,1.825
10,0.043,124.221,16.183,73,164,90,0.190,0.000,0.000,NaN,1.675
11,0.041,121.318,13.789,96,156,90,0.196,0.000,0.000,NaN,1.625
12,0.042,117.164,12.717,91,157,90,0.193,0.000,0.000,NaN,1.650
13,0.044,113.225,11.090,86,146,90,0.182,0.000,0.000,NaN,1.750
14,0.043,119.147,11.329,94,159,90,0.190,0.000,0.000,NaN,1.675
15,0.041,117.500,11.493,86,140,90,0.196,0.000,0.000,NaN,1.625
16,0.041,117.877,11.872,98,144,90,0.199,0.000,0.000,NaN,1.600
17,0.048,114.338,12.034,86,148,90,0.168,0.000,0.000,NaN,1.900
18,0.047,110.533,13.485,85,151,90,0.172,0.000,0.000,NaN,1.850
19,0.046,111.151,13.169,76,138,90,0.177,0.000,0.000,NaN,1.800
20,0.041,112.045,13.623,82,146,90,0.196,0.000,0.000,NaN,1.625
21,0.041,115.831,11.060,99,146,90,0.199,0.000,0.000,NaN,1.600
22,0.042,113.955,11.045,89,146,90,0.193,0.000,0.000,NaN,1.650
23,0.041,113.924,12.483,91,144,90,0.196,0.000,0.000,NaN,1.625
24,0.038,105.300,11.183,83,127,90,0.217,0.000,0.000,NaN,1.475
25,0.042,114.627,11.561,82,141,90,0.193,0.000,0.000,NaN,1.650
26,0.047,121.173,12.330,89,160,90,0.172,0.000,0.000,NaN,1.850
27,0.043,108.206,11.144,86,133,90,0.190,0.000,0.000,NaN,1.675
28,0.044,111.771,10.886,89,140,90,0.185,0.000,0.000,NaN,1.725
29,0.042,111.194,10.699,88,134,90,0.193,0.000,0.000,NaN,1.650
30,0.043,114.638,13.129,89,143,90,0.188,0.000,0.000,NaN,1.700
31,0.046,99.822,11.137,70,125,90,0.177,0.000,0.000,NaN,1.800
32,0.044,105.986,11.096,70,135,90,0.182,0.000,0.000,NaN,1.750
33,0.045,108.861,12.391,82,134,90,0.179,0.000,0.000,NaN,1.775
34,0.043,105.507,12.189,80,140,90,0.188,0.000,0.000,NaN,1.700
35,0.044,94.786,11.891,70,127,90,0.185,0.000,0.000,NaN,1.725
36,0.044,101.743,13.195,62,146,90,0.185,0.000,0.000,NaN,1.725
