% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f20.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 22 2024, 16:54
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
200                      1.3E-5                   0                        8.574363751988713        2.8040532703559116
210                      1.3E-5                   0                        8.999639303661773        2.9449635006385684
220                      1.3E-5                   0                        9.426139557481104        3.0859207317735127
230                      1.3E-5                   0                        9.851101231410016        3.2270177359379737
240                      1.3E-5                   0                        10.276261076877521       3.368187058964452
250                      1.3E-5                   0                        10.70152640984735        3.50939292592253
260                      1.3E-5                   0                        11.126865957589033       3.6506181166299605
270                      1.3E-5                   0                        11.552191606685          3.791850026434844
