% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f20.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 22 2024, 16:55
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
200                      1.4999999999999999E-5    5.0E-4                   9.435523914287067        2.834388960375403
210                      1.4999999999999999E-5    5.0E-4                   9.903427413769286        2.977007601440274
220                      1.4999999999999999E-5    5.0E-4                   10.371535385060078       3.1197180104657036
230                      1.4999999999999999E-5    5.0E-4                   10.839748457974366       3.2624998477444898
240                      1.4999999999999999E-5    5.0E-4                   11.30803145877384        3.4053342040169667
250                      1.4999999999999999E-5    5.0E-4                   11.776115555864422       3.5481924912817355
260                      1.4999999999999999E-5    5.0E-4                   12.243775854962905       3.6910798809959395
270                      1.4999999999999999E-5    5.0E-4                   12.71106861735067        3.8339930836358285
