 ,Area,Mean,StdDev,Min,Max,Angle,Circ.,AR,Round,Solidity,Length
1,0.018,129.216,12.052,92,159,90,0.076,0.000,0.000,NaN,1.725
2,0.017,129.745,11.242,103,159,90,0.079,0.000,0.000,NaN,1.662
3,0.018,122.224,13.212,86,168,90,0.077,0.000,0.000,NaN,1.704
4,0.019,119.277,13.567,85,164,90,0.073,0.000,0.000,NaN,1.787
5,0.017,117.975,10.107,90,148,90,0.080,0.000,0.000,NaN,1.642
6,0.018,134.994,12.649,100,165,90,0.074,0.000,0.000,NaN,1.766
7,0.017,121.394,10.610,96,163,90,0.080,0.000,0.000,NaN,1.652
8,0.018,120.641,10.686,89,154,90,0.076,0.000,0.000,NaN,1.725
9,0.018,119.887,11.517,82,150,90,0.076,0.000,0.000,NaN,1.735
10,0.018,121.250,11.512,96,158,90,0.078,0.000,0.000,NaN,1.694
11,0.019,115.750,10.617,93,144,90,0.074,0.000,0.000,NaN,1.777
12,0.019,113.621,11.078,83,145,90,0.072,0.000,0.000,NaN,1.829
13,0.017,108.870,12.205,81,160,90,0.079,0.000,0.000,NaN,1.673
14,0.019,108.457,10.460,82,140,90,0.073,0.000,0.000,NaN,1.787
15,0.017,107.099,10.909,77,135,90,0.079,0.000,0.000,NaN,1.662
16,0.020,103.193,11.059,80,136,90,0.068,0.000,0.000,NaN,1.932
