% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f28.mph
% Version:            COMSOL 6.2.0.290
% Date:               Aug 8 2024, 16:20
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
5                        1.4999999999999999E-5    5.0E-4                   1.636071264661954        0.19037898453836988
10                       1.4999999999999999E-5    5.0E-4                   3.26975406908797         0.38137761175718055
15                       1.4999999999999999E-5    5.0E-4                   4.898496658699116        0.5727342946933724
20                       1.4999999999999999E-5    5.0E-4                   6.521481819775616        0.7646266353433013
25                       1.4999999999999999E-5    5.0E-4                   8.143230185122487        0.9569613927273721
30                       1.4999999999999999E-5    5.0E-4                   9.76015287137956         1.1497547357332039
35                       1.4999999999999999E-5    5.0E-4                   11.375134124554393       1.3431765981186743
40                       1.4999999999999999E-5    5.0E-4                   12.987872423946435       1.537071496878017
45                       1.4999999999999999E-5    5.0E-4                   14.597618856769245       1.731480779191628
50                       1.4999999999999999E-5    5.0E-4                   16.206448022013596       1.9263474656910908
55                       1.4999999999999999E-5    5.0E-4                   17.812001188498627       2.121658480351627
60                       1.4999999999999999E-5    5.0E-4                   19.414806908817837       2.3174394773526963
65                       1.4999999999999999E-5    5.0E-4                   21.017369631255264       2.5136343887642596
70                       1.4999999999999999E-5    5.0E-4                   22.619509738909116       2.7101896667937915
75                       1.4999999999999999E-5    5.0E-4                   24.221135469938453       2.9070687802351785
80                       1.4999999999999999E-5    5.0E-4                   25.821848483857472       3.1042485122103542
85                       1.4999999999999999E-5    5.0E-4                   27.42034344539737        3.301738268682083
90                       1.4999999999999999E-5    5.0E-4                   29.016971933010133       3.4995106321819804
95                       1.4999999999999999E-5    5.0E-4                   30.614023770520546       3.697514524370092
100                      1.4999999999999999E-5    5.0E-4                   32.21158377818771        3.8956797196823345
105                      1.4999999999999999E-5    5.0E-4                   33.80936458419731        4.093944722538453
110                      1.4999999999999999E-5    5.0E-4                   35.40691041355747        4.2923152646197416
115                      1.4999999999999999E-5    5.0E-4                   37.00424126392143        4.49078786843706
120                      1.4999999999999999E-5    5.0E-4                   38.601254661563466       4.689353425762246
125                      1.4999999999999999E-5    5.0E-4                   40.1977328219946         4.888017630000391
130                      1.4999999999999999E-5    5.0E-4                   41.79366066073142        5.086785014977732
