% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f34.mph
% Version:            COMSOL 6.2.0.290
% Date:               Aug 9 2024, 11:08
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
38                       2.4E-5                   5.0E-4                   10.37749924810668        2.411384920359751
39                       2.4E-5                   5.0E-4                   10.64861892653478        2.475337516311466
40                       2.4E-5                   5.0E-4                   10.919762986313472       2.53930985038642
41                       2.4E-5                   5.0E-4                   11.190925692945523       2.603302955366871
42                       2.4E-5                   5.0E-4                   11.462091993928766       2.667313190311557
43                       2.4E-5                   5.0E-4                   11.733115419526236       2.7313416570241458
44                       2.4E-5                   5.0E-4                   12.003997964432372       2.7953907435738365
45                       2.4E-5                   5.0E-4                   12.27475208244691        2.8594604605474707
