% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f29-2.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 29 2024, 15:31
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
2                        1.6E-5                   -5.0E-4                  1.3321746421787637       0.22346795538968678
4                        1.6E-5                   -5.0E-4                  2.6625743421740005       0.447517292502269
6                        1.6E-5                   -5.0E-4                  3.991157802001492        0.6717517974351424
8                        1.6E-5                   -5.0E-4                  5.3152033715053655       0.8963012269815742
10                       1.6E-5                   -5.0E-4                  6.636108752421169        1.1213259205331418
12                       1.6E-5                   -5.0E-4                  7.956561563288993        1.346856965926154
14                       1.6E-5                   -5.0E-4                  9.274280883814082        1.5728183355867742
16                       1.6E-5                   -5.0E-4                  10.58863898714576        1.799395175200587
18                       1.6E-5                   -5.0E-4                  11.90333926140504        2.0264171214998186
20                       1.6E-5                   -5.0E-4                  13.21553811684337        2.253863952584151
