% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f28.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 29 2024, 12:27
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
6                        1.9999999999999998E-5    0                        2.35349567095901         0.4129831861401705
7                        1.9999999999999998E-5    0                        2.745274556043203        0.4819400449579412
10                       1.9999999999999998E-5    0                        3.9194226473116736       0.6888877919536185
15                       1.9999999999999998E-5    0                        5.868346141317037        1.0343788685827384
20                       1.9999999999999998E-5    0                        7.81283650725398         1.3810235033932479
25                       1.9999999999999998E-5    0                        9.752001052969664        1.7287080038718052
30                       1.9999999999999998E-5    0                        11.687681711150798       2.0776133960824197
35                       1.9999999999999998E-5    0                        13.619261637913091       2.4274650562476126
40                       1.9999999999999998E-5    0                        15.548115510348133       2.7782595337482086
45                       1.9999999999999998E-5    0                        17.473766562744835       3.1298571655830187
50                       1.9999999999999998E-5    0                        19.394806174396017       3.4822980681791975
55                       1.9999999999999998E-5    0                        21.315104128166908       3.8353249961680014
60                       1.9999999999999998E-5    0                        23.234727945208633       4.188660994048735
65                       1.9999999999999998E-5    0                        25.15351793845725        4.542243472404387
70                       1.9999999999999998E-5    0                        27.069780269477626       4.896097526976842
75                       1.9999999999999998E-5    0                        28.98307930147184        5.250285239163052
80                       1.9999999999999998E-5    0                        30.89657412922626        5.604761062606386
85                       1.9999999999999998E-5    0                        32.810744584921636       5.959432012877041
90                       1.9999999999999998E-5    0                        34.72489783926998        6.314362193912348
95                       1.9999999999999998E-5    0                        36.638702732693865       6.669586841380877
100                      1.9999999999999998E-5    0                        38.55210472099715        7.02516209508644
105                      1.9999999999999998E-5    0                        40.46474491603329        7.381061882362051
110                      1.9999999999999998E-5    0                        42.37662203623386        7.737234760473434
115                      1.9999999999999998E-5    0                        44.28742210734089        8.093518843808507
120                      1.9999999999999998E-5    0                        46.19572421712003        8.449872741016296
125                      1.9999999999999998E-5    0                        48.10167500664001        8.806203048714664
130                      1.9999999999999998E-5    0                        50.00543501253951        9.162506819483216
