% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_2400keV_Apiezon_f29.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 22 2024, 09:16
% Table:              Table 6 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
2                        2.2E-5                   5.0E-4                   1.62721700364256         0.3511687347837089
3                        2.2E-5                   5.0E-4                   2.4398669298810844       0.5270637768675179
4                        2.2E-5                   5.0E-4                   3.251996879071484        0.7029909228573921
5                        2.2E-5                   5.0E-4                   4.063010650218075        0.8789473738894742
6                        2.2E-5                   5.0E-4                   4.872027649636443        1.0550417811520703
7                        2.2E-5                   5.0E-4                   5.679596655232267        1.2314055953735128
8                        2.2E-5                   5.0E-4                   6.486081057807315        1.4080528141588395
9                        2.2E-5                   5.0E-4                   7.292491480253059        1.5849350869198169
