 ,Area,Mean,StdDev,Min,Max,Angle,Circ.,AR,Round,Solidity,Length
1,0.021,94.535,8.141,72,115,90,0.064,0.000,0.000,NaN,2.047
2,0.018,96.065,7.785,75,123,90,0.075,0.000,0.000,NaN,1.756
3,0.015,95.050,8.202,75,116,90,0.092,0.000,0.000,NaN,1.434
4,0.015,92.514,7.342,76,113,90,0.092,0.000,0.000,NaN,1.423
5,0.015,93.244,8.704,68,114,90,0.094,0.000,0.000,NaN,1.392
6,0.016,93.745,7.809,65,114,90,0.088,0.000,0.000,NaN,1.496
7,0.015,92.557,8.738,65,121,90,0.091,0.000,0.000,NaN,1.444
8,0.016,93.709,8.237,77,125,90,0.086,0.000,0.000,NaN,1.527
9,0.016,89.131,7.342,70,111,90,0.088,0.000,0.000,NaN,1.496
10,0.015,88.804,7.807,75,114,90,0.092,0.000,0.000,NaN,1.423
11,0.017,88.056,7.875,70,113,90,0.079,0.000,0.000,NaN,1.662
12,0.014,85.478,8.136,63,114,90,0.095,0.000,0.000,NaN,1.382
13,0.016,85.839,7.363,69,105,90,0.085,0.000,0.000,NaN,1.538
14,0.015,85.730,7.126,68,113,90,0.090,0.000,0.000,NaN,1.455
15,0.015,91.963,8.014,67,119,90,0.094,0.000,0.000,NaN,1.403
16,0.016,92.600,10.343,59,116,90,0.088,0.000,0.000,NaN,1.496
