% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_2400keV_Apiezon_f29.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 22 2024, 09:18
% Table:              Table 6 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
2                        2.6E-5                   5.0E-4                   1.8032192261833337       0.4384109035133896
3                        2.6E-5                   5.0E-4                   2.7037064106332203       0.6579150741698143
4                        2.6E-5                   5.0E-4                   3.603449573157512        0.877410113808196
5                        2.6E-5                   5.0E-4                   4.501091618122075        1.096995066454241
6                        2.6E-5                   5.0E-4                   5.39664517099537         1.3169330272790312
7                        2.6E-5                   5.0E-4                   6.290577498528684        1.5372487719205097
8                        2.6E-5                   5.0E-4                   7.184164578718622        1.7578967053981884
9                        2.6E-5                   5.0E-4                   8.077508218567651        1.9788036056582463
