% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_1200keV_Apiezon_f28.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 27 2024, 21:35
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
2                        1.3E-5                   5.0E-4                   0.5962642181918874       0.0830904762917477
5                        1.3E-5                   5.0E-4                   1.488961936263081        0.20805635677461254
10                       1.3E-5                   5.0E-4                   2.975897726649297        0.4167170162661833
15                       1.3E-5                   5.0E-4                   4.4595175825876545       0.625643822507925
20                       1.3E-5                   5.0E-4                   5.937722836030279        0.8350165112295365
25                       1.3E-5                   5.0E-4                   7.413906940989129        1.0448631408170144
30                       1.3E-5                   5.0E-4                   8.887559179754604        1.2551716060548586
35                       1.3E-5                   5.0E-4                   10.358228039531461       1.4660644245974623
40                       1.3E-5                   5.0E-4                   11.828102161544827       1.6774930151825096
45                       1.3E-5                   5.0E-4                   13.294979096050241       1.8893790823781131
50                       1.3E-5                   5.0E-4                   14.760029429929617       2.101756416509115
55                       1.3E-5                   5.0E-4                   16.224309556520957       2.3145570748411117
60                       1.3E-5                   5.0E-4                   17.685784415765944       2.5277657588051987
65                       1.3E-5                   5.0E-4                   19.144794030819433       2.741409467492179
70                       1.3E-5                   5.0E-4                   20.603594121971845       2.955447471319985
75                       1.3E-5                   5.0E-4                   22.06209577434496        3.169827774969196
80                       1.3E-5                   5.0E-4                   23.520196356964895       3.3845077193778152
85                       1.3E-5                   5.0E-4                   24.977850867643127       3.5994096125798585
90                       1.3E-5                   5.0E-4                   26.434122048039114       3.814503875019451
95                       1.3E-5                   5.0E-4                   27.88853667583554        4.029764369617336
100                      1.3E-5                   5.0E-4                   29.341856060624245       4.245188025109901
105                      1.3E-5                   5.0E-4                   30.795787786443938       4.460759713061407
110                      1.3E-5                   5.0E-4                   32.25012708839672        4.676449017895461
115                      1.3E-5                   5.0E-4                   33.70463954800053        4.892234304333346
120                      1.3E-5                   5.0E-4                   35.158961168417605       5.108117029478077
125                      1.3E-5                   5.0E-4                   36.61308959267658        5.324091127355008
130                      1.3E-5                   5.0E-4                   38.067019819908325       5.540130562511713
