% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_1200keV_Apiezon_f28.mph
% Version:            COMSOL 6.2.0.290
% Date:               Jun 27 2024, 21:35
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
2                        1.3E-5                   -5.0E-4                  0.5944334190902225       0.11579948335715784
5                        1.3E-5                   -5.0E-4                  1.4843798618352295       0.28989111591723926
10                       1.3E-5                   -5.0E-4                  2.9667311755006693       0.5804125001083023
15                       1.3E-5                   -5.0E-4                  4.445814777267714        0.8711076940087707
20                       1.3E-5                   -5.0E-4                  5.919483442555443        1.1623404254501892
25                       1.3E-5                   -5.0E-4                  7.391064034075249        1.4543826186628301
30                       1.3E-5                   -5.0E-4                  8.860215552657351        1.7470445108223949
35                       1.3E-5                   -5.0E-4                  10.326276588735475       2.040449682562709
40                       1.3E-5                   -5.0E-4                  11.791549286787859       2.3345398899874255
45                       1.3E-5                   -5.0E-4                  13.253888455067198       2.629178576623328
50                       1.3E-5                   -5.0E-4                  14.714314372508433       2.924404102607422
55                       1.3E-5                   -5.0E-4                  16.174007584286365       3.220128610719314
60                       1.3E-5                   -5.0E-4                  17.630954061343814       3.516292042266766
65                       1.3E-5                   -5.0E-4                  19.08539149772958        3.8128342647540236
70                       1.3E-5                   -5.0E-4                  20.539588517494977       4.109632345029141
75                       1.3E-5                   -5.0E-4                  21.993495599197125       4.406606870997244
80                       1.3E-5                   -5.0E-4                  23.447009229273043       4.703745729843565
85                       1.3E-5                   -5.0E-4                  24.90007586677857        5.001035407136413
90                       1.3E-5                   -5.0E-4                  26.351848232877295       5.298472767963112
95                       1.3E-5                   -5.0E-4                  27.801757226376694       5.596080419473548
100                      1.3E-5                   -5.0E-4                  29.250453302297515       5.893898135328261
105                      1.3E-5                   -5.0E-4                  30.699723867772597       6.191943780046699
110                      1.3E-5                   -5.0E-4                  32.14940310396723        6.490185190026562
115                      1.3E-5                   -5.0E-4                  33.5992644048407         6.788640229558073
120                      1.3E-5                   -5.0E-4                  35.04893787864459        7.087316472650208
125                      1.3E-5                   -5.0E-4                  36.498422836356895       7.3862223631933475
130                      1.3E-5                   -5.0E-4                  37.947731460323425       7.685232524302311
