% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f29-2.mph
% Version:            COMSOL 6.2.0.290
% Date:               Aug 8 2024, 13:41
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
0.5                      1.9999999999999998E-5    5.0E-4                   0.3849358927719315       0.058745732565139264
1.5                      1.9999999999999998E-5    5.0E-4                   1.1533480930204938       0.1764897349676957
2.5                      1.9999999999999998E-5    5.0E-4                   1.9212392071539988       0.2944539335695957
3.5                      1.9999999999999998E-5    5.0E-4                   2.6888291564614804       0.41250991987234187
4.5                      1.9999999999999998E-5    5.0E-4                   3.455894289480188        0.5306276968852295
5.5                      1.9999999999999998E-5    5.0E-4                   4.221647513594551        0.6488176166749078
6.5                      1.9999999999999998E-5    5.0E-4                   4.985706181825588        0.7671328653815372
7.5                      1.9999999999999998E-5    5.0E-4                   5.748529771036669        0.8855822752729026
8.5                      1.9999999999999998E-5    5.0E-4                   6.510464581096407        1.004173115063466
9.5                      1.9999999999999998E-5    5.0E-4                   7.272374943135272        1.1229136216978652
10.5                     1.9999999999999998E-5    5.0E-4                   8.034110119366105        1.2417911466993345
11.5                     1.9999999999999998E-5    5.0E-4                   8.795079226779428        1.36077709173275
12.5                     1.9999999999999998E-5    5.0E-4                   9.553737080012066        1.4799740751606798
13.5                     1.9999999999999998E-5    5.0E-4                   10.311976712717136       1.5993569331812623
14.5                     1.9999999999999998E-5    5.0E-4                   11.070504754506064       1.718883313033981
15.5                     1.9999999999999998E-5    5.0E-4                   11.828922684440087       1.8385332294630494
16.5                     1.9999999999999998E-5    5.0E-4                   12.586363077641153       1.9583155242774062
17.5                     1.9999999999999998E-5    5.0E-4                   13.342858150436228       2.0782419243409223
18.5                     1.9999999999999998E-5    5.0E-4                   14.098846843197002       2.1983122353442397
