% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f29.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 22 2024, 08:48
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
50                       1.8E-5                   -5.0E-4                  2.6783637606673274       0.6602348404264617
55                       1.8E-5                   -5.0E-4                  2.945857806974974        0.7263145294603284
60                       1.8E-5                   -5.0E-4                  3.2132771059699436       0.792392311738034
65                       1.8E-5                   -5.0E-4                  3.480621951235257        0.8584680155551787
70                       1.8E-5                   -5.0E-4                  3.747779478555465        0.9245416114886318
75                       1.8E-5                   -5.0E-4                  4.014670010758191        0.9906279943289036
80                       1.8E-5                   -5.0E-4                  4.281321563700612        1.0567388994592228
85                       1.8E-5                   -5.0E-4                  4.547767864445515        1.1228833591374467
90                       1.8E-5                   -5.0E-4                  4.814063446656792        1.1890616318015752
95                       1.8E-5                   -5.0E-4                  5.08020543228826         1.2552733606605813
100                      1.8E-5                   -5.0E-4                  5.346194535056249        1.3215183353835194
105                      1.8E-5                   -5.0E-4                  5.612035115944494        1.3877971281977182
110                      1.8E-5                   -5.0E-4                  5.877731767280338        1.4541094430102213
115                      1.8E-5                   -5.0E-4                  6.143303251119196        1.5204559867064837
120                      1.8E-5                   -5.0E-4                  6.40890360894857         1.5868356517039537
125                      1.8E-5                   -5.0E-4                  6.674514055895955        1.6532433551368761
130                      1.8E-5                   -5.0E-4                  6.940122982070502        1.7196770395319376
135                      1.8E-5                   -5.0E-4                  7.205722984567807        1.786134547805009
140                      1.8E-5                   -5.0E-4                  7.4713070368605905       1.8526146722137469
145                      1.8E-5                   -5.0E-4                  7.736869498842562        1.9191166529168804
150                      1.8E-5                   -5.0E-4                  8.00237021335191         1.9856389712139446
155                      1.8E-5                   -5.0E-4                  8.26758262920104         2.052182828188016
160                      1.8E-5                   -5.0E-4                  8.532550664454863        2.1187527685610696
165                      1.8E-5                   -5.0E-4                  8.797153310387507        2.1853511709519786
170                      1.8E-5                   -5.0E-4                  9.062812057654785        2.251931564962966
175                      1.8E-5                   -5.0E-4                  9.327217579976377        2.3185905154376556
180                      1.8E-5                   -5.0E-4                  9.591434011489206        2.3852824622474067
185                      1.8E-5                   -5.0E-4                  9.855710954145188        2.4520074837355565
190                      1.8E-5                   -5.0E-4                  10.12004306328912        2.518760257631776
195                      1.8E-5                   -5.0E-4                  10.384418427843897       2.585536819216223
200                      1.8E-5                   -5.0E-4                  10.648824613170028       2.6523353425664347
205                      1.8E-5                   -5.0E-4                  10.913255349256108       2.719153170053648
210                      1.8E-5                   -5.0E-4                  11.17770602881058        2.785989767865157
215                      1.8E-5                   -5.0E-4                  11.442163421119758       2.8528445555167927
220                      1.8E-5                   -5.0E-4                  11.706477505917693       2.9197146306683557
225                      1.8E-5                   -5.0E-4                  11.970657192383786       2.986604619055793
230                      1.8E-5                   -5.0E-4                  12.234714111375787       3.0535144578335434
235                      1.8E-5                   -5.0E-4                  12.498651675492951       3.120445174905818
240                      1.8E-5                   -5.0E-4                  12.762469600157651       3.1873983391329723
245                      1.8E-5                   -5.0E-4                  13.02617469470345        3.254374377332663
250                      1.8E-5                   -5.0E-4                  13.289769631391302       3.3213700942976665
