% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f29.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 22 2024, 08:53
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
50                       2.6E-5                   5.0E-4                   3.376805535021969        0.8217035225860521
55                       2.6E-5                   5.0E-4                   3.713806977902763        0.903927093294584
60                       2.6E-5                   5.0E-4                   4.050394587950713        0.9861630260147649
65                       2.6E-5                   5.0E-4                   4.386597375812535        1.0684384872700612
70                       2.6E-5                   5.0E-4                   4.722503257847421        1.1507671738167744
75                       2.6E-5                   5.0E-4                   5.058158098425288        1.2331481563733284
80                       2.6E-5                   5.0E-4                   5.393561743397761        1.3155814657611842
85                       2.6E-5                   5.0E-4                   5.728723888001362        1.3980678629487997
90                       2.6E-5                   5.0E-4                   6.063649742740157        1.4806071318102099
95                       2.6E-5                   5.0E-4                   6.398524171760144        1.5631991152081
100                      2.6E-5                   5.0E-4                   6.733413935786427        1.6458354405046443
105                      2.6E-5                   5.0E-4                   7.068295418115802        1.7285113828694385
110                      2.6E-5                   5.0E-4                   7.403154883617386        1.811224446346106
115                      2.6E-5                   5.0E-4                   7.737980690006239        1.8939721894774628
120                      2.6E-5                   5.0E-4                   8.072682958077777        1.976752669772651
125                      2.6E-5                   5.0E-4                   8.407676845702287        2.0595197691175997
130                      2.6E-5                   5.0E-4                   8.741696436827898        2.1423773282287684
135                      2.6E-5                   5.0E-4                   9.07535909896972         2.22528351561391
140                      2.6E-5                   5.0E-4                   9.408677720130257        2.3082403004066983
145                      2.6E-5                   5.0E-4                   9.741788996642537        2.391249932811828
150                      2.6E-5                   5.0E-4                   10.074993831232916       2.4743055518356876
155                      2.6E-5                   5.0E-4                   10.408262235762415       2.5574002592663945
160                      2.6E-5                   5.0E-4                   10.74157816944691        2.6405296145427286
165                      2.6E-5                   5.0E-4                   11.074926639307744       2.723690055722301
170                      2.6E-5                   5.0E-4                   11.408301258511624       2.806878805279055
175                      2.6E-5                   5.0E-4                   11.741510700526042       2.890094175145105
180                      2.6E-5                   5.0E-4                   12.074506104036566       2.973341399630627
185                      2.6E-5                   5.0E-4                   12.407305362201058       3.056620954195502
190                      2.6E-5                   5.0E-4                   12.739913576282305       3.1399337530122047
195                      2.6E-5                   5.0E-4                   13.072335028726748       3.223281208918724
200                      2.6E-5                   5.0E-4                   13.404575158089656       3.306665200199408
205                      2.6E-5                   5.0E-4                   13.736744552441948       3.3900835302775256
210                      2.6E-5                   5.0E-4                   14.06890580762957        3.473525490148319
215                      2.6E-5                   5.0E-4                   14.401035395300717       3.556987747630515
220                      2.6E-5                   5.0E-4                   14.733130777447293       3.6404683651603094
225                      2.6E-5                   5.0E-4                   15.065188029375967       3.7239611928903713
230                      2.6E-5                   5.0E-4                   15.397204083709482       3.807464896554176
235                      2.6E-5                   5.0E-4                   15.729177587472726       3.890972766333416
240                      2.6E-5                   5.0E-4                   16.06104198851981        3.974485960312464
245                      2.6E-5                   5.0E-4                   16.392720657792957       4.058005068884466
250                      2.6E-5                   5.0E-4                   16.724224742704834       4.141535324069537
