 ,Area,Mean,StdDev,Min,Max,Angle,Circ.,AR,Round,Solidity,Length
1,0.019,82.576,7.277,64,104,90,0.074,0.000,0.000,NaN,1.777
2,0.019,87.034,7.976,67,111,90,0.072,0.000,0.000,NaN,1.818
3,0.018,80.585,7.804,51,101,90,0.078,0.000,0.000,NaN,1.694
4,0.018,79.675,8.058,55,108,90,0.077,0.000,0.000,NaN,1.714
5,0.019,81.932,7.579,61,102,90,0.072,0.000,0.000,NaN,1.818
6,0.019,81.337,7.285,57,102,90,0.073,0.000,0.000,NaN,1.808
7,0.019,79.291,7.445,61,99,90,0.071,0.000,0.000,NaN,1.849
8,0.021,77.763,7.724,58,101,90,0.065,0.000,0.000,NaN,2.005
9,0.017,74.401,7.227,55,90,90,0.079,0.000,0.000,NaN,1.673
10,0.018,76.153,6.927,60,94,90,0.075,0.000,0.000,NaN,1.756
11,0.018,72.458,7.330,52,96,90,0.076,0.000,0.000,NaN,1.735
12,0.017,72.216,6.609,56,89,90,0.079,0.000,0.000,NaN,1.673
13,0.018,69.281,5.873,54,85,90,0.074,0.000,0.000,NaN,1.766
14,0.018,70.151,6.975,52,92,90,0.077,0.000,0.000,NaN,1.714
15,0.019,85.379,8.515,68,109,90,0.073,0.000,0.000,NaN,1.797
