 ,Area,Mean,StdDev,Min,Max,Angle,Circ.,AR,Round,Solidity,Length
1,0.019,142.944,18.366,99,184,90,0.103,0.000,0.000,NaN,1.538
2,0.018,149.153,14.671,113,184,90,0.108,0.000,0.000,NaN,1.463
3,0.020,139.408,17.879,102,184,90,0.102,0.000,0.000,NaN,1.550
4,0.017,138.667,16.505,99,184,90,0.115,0.000,0.000,NaN,1.375
5,0.020,128.915,16.757,90,174,90,0.099,0.000,0.000,NaN,1.600
6,0.017,134.589,17.616,102,183,90,0.120,0.000,0.000,NaN,1.325
7,0.018,134.372,18.352,93,181,90,0.113,0.000,0.000,NaN,1.400
8,0.018,133.009,16.865,90,176,90,0.110,0.000,0.000,NaN,1.438
9,0.020,139.054,21.919,87,184,90,0.099,0.000,0.000,NaN,1.600
10,0.019,129.951,16.573,90,178,90,0.105,0.000,0.000,NaN,1.513
11,0.020,140.659,19.255,102,184,90,0.099,0.000,0.000,NaN,1.600
12,0.016,137.180,18.641,90,184,90,0.128,0.000,0.000,NaN,1.238
13,0.019,128.846,16.743,89,170,90,0.104,0.000,0.000,NaN,1.525
14,0.018,119.812,16.624,79,160,90,0.114,0.000,0.000,NaN,1.388
15,0.019,128.658,14.491,99,164,90,0.106,0.000,0.000,NaN,1.488
