 ,Area,Mean,StdDev,Min,Max,Angle,Circ.,AR,Round,Solidity,Length
1,0.026,91.759,8.796,69,111,90,0.119,0.000,0.000,NaN,1.667
2,0.026,89.630,7.331,72,110,90,0.119,0.000,0.000,NaN,1.667
3,0.026,86.720,6.994,70,109,90,0.120,0.000,0.000,NaN,1.651
4,0.025,86.562,9.103,64,106,90,0.122,0.000,0.000,NaN,1.620
5,0.026,86.187,7.298,67,105,90,0.120,0.000,0.000,NaN,1.651
6,0.025,81.757,7.252,64,101,90,0.124,0.000,0.000,NaN,1.589
7,0.026,80.661,7.024,69,106,90,0.117,0.000,0.000,NaN,1.682
8,0.027,81.324,6.886,67,101,90,0.115,0.000,0.000,NaN,1.713
9,0.025,78.490,7.356,65,95,90,0.126,0.000,0.000,NaN,1.573
10,0.029,77.339,7.261,61,105,90,0.106,0.000,0.000,NaN,1.869
11,0.028,74.956,7.563,54,95,90,0.112,0.000,0.000,NaN,1.760
12,0.026,71.925,6.284,59,87,90,0.120,0.000,0.000,NaN,1.651
13,0.027,69.730,6.514,56,87,90,0.115,0.000,0.000,NaN,1.713
14,0.025,85.810,6.842,70,99,90,0.122,0.000,0.000,NaN,1.620
15,0.025,85.038,6.680,68,100,90,0.123,0.000,0.000,NaN,1.604
16,0.027,77.627,6.736,65,97,90,0.116,0.000,0.000,NaN,1.698
