 ,Area,Mean,StdDev,Min,Max,Angle,Circ.,AR,Round,Solidity,Length
1,0.024,104.561,9.479,85,131,90,0.131,0.000,0.000,NaN,1.511
2,0.025,101.618,8.827,77,119,90,0.126,0.000,0.000,NaN,1.573
3,0.024,101.071,8.393,81,123,90,0.131,0.000,0.000,NaN,1.511
4,0.025,97.971,9.456,77,120,90,0.123,0.000,0.000,NaN,1.604
5,0.024,94.280,6.703,77,113,90,0.128,0.000,0.000,NaN,1.542
6,0.025,94.802,7.743,77,120,90,0.127,0.000,0.000,NaN,1.558
7,0.023,91.800,8.576,71,112,90,0.135,0.000,0.000,NaN,1.464
8,0.024,90.526,8.757,64,114,90,0.132,0.000,0.000,NaN,1.495
9,0.023,90.375,7.524,77,113,90,0.134,0.000,0.000,NaN,1.480
10,0.023,86.211,9.693,60,107,90,0.135,0.000,0.000,NaN,1.464
11,0.024,80.691,7.245,66,99,90,0.132,0.000,0.000,NaN,1.495
12,0.025,79.812,8.388,55,101,90,0.127,0.000,0.000,NaN,1.558
13,0.024,100.869,8.425,82,124,90,0.130,0.000,0.000,NaN,1.526
14,0.024,101.237,9.766,77,130,90,0.132,0.000,0.000,NaN,1.495
15,0.025,99.738,9.251,67,120,90,0.124,0.000,0.000,NaN,1.589
16,0.025,84.019,7.680,70,100,90,0.123,0.000,0.000,NaN,1.604
