% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f29-1.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 29 2024, 14:17
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
45                       1.7E-5                   5.0E-4                   2.339444376427206        0.30829671835219585
55                       1.7E-5                   5.0E-4                   2.8586799579581204       0.3769719390594197
65                       1.7E-5                   5.0E-4                   3.3776532650830013       0.44567645959389424
75                       1.7E-5                   5.0E-4                   3.896082380559239        0.5144109143977502
85                       1.7E-5                   5.0E-4                   4.413583815587383        0.5831928522870058
95                       1.7E-5                   5.0E-4                   4.930421989958141        0.6520333261384401
105                      1.7E-5                   5.0E-4                   5.446692593697158        0.7209322777338123
115                      1.7E-5                   5.0E-4                   5.9624180386502665       0.7898902071276552
125                      1.7E-5                   5.0E-4                   6.477900062098193        0.8589059954229477
135                      1.7E-5                   5.0E-4                   6.993433778153946        0.9279676847362239
145                      1.7E-5                   5.0E-4                   7.508932824245221        0.9970749044918961
155                      1.7E-5                   5.0E-4                   8.024300061891083        1.0662299745274595
165                      1.7E-5                   5.0E-4                   8.538803408883588        1.1354411715137402
175                      1.7E-5                   5.0E-4                   9.05344992923493         1.204696884913826
185                      1.7E-5                   5.0E-4                   9.566496792930778        1.2740517913039824
195                      1.7E-5                   5.0E-4                   10.079519609743048       1.343484180071247
205                      1.7E-5                   5.0E-4                   10.592716660920498       1.412979697811533
215                      1.7E-5                   5.0E-4                   11.106017517512942       1.482529581491658
225                      1.7E-5                   5.0E-4                   11.619278621680664       1.552128999740905
235                      1.7E-5                   5.0E-4                   12.132051689459779       1.621778990369073
245                      1.7E-5                   5.0E-4                   12.644367501540174       1.6914840855801643
255                      1.7E-5                   5.0E-4                   13.156251946912647       1.7612491062755389
265                      1.7E-5                   5.0E-4                   13.667808411388336       1.8310726574233733
