% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f29-1.mph
% Version:            COMSOL 6.2.0.290
% Date:               Sep 29 2024, 14:17
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
45                       1.7E-5                   0                        2.3373377469966883       0.35648085202060287
55                       1.7E-5                   0                        2.8561051243881472       0.43586874364715555
65                       1.7E-5                   0                        3.37461095364619         0.5152832757715125
75                       1.7E-5                   0                        3.8925770650976332       0.5947253353990369
85                       1.7E-5                   0                        4.409616301172676        0.6742152415061682
95                       1.7E-5                   0                        4.925990965042278        0.7537659174590701
105                      1.7E-5                   0                        5.441798617192713        0.8333774429092635
115                      1.7E-5                   0                        5.957061681107906        0.913049451993146
125                      1.7E-5                   0                        6.472073467431851        0.9927902100924832
135                      1.7E-5                   0                        6.98713607432472         1.0725985344199245
145                      1.7E-5                   0                        7.502164503640877        1.1524728612217103
155                      1.7E-5                   0                        8.01706707182234         1.2324069988412774
165                      1.7E-5                   0                        8.531112654816674        1.3124021772656036
175                      1.7E-5                   0                        9.045299184958388        1.3924453970924908
185                      1.7E-5                   0                        9.557884380420067        1.4726010600410113
195                      1.7E-5                   0                        10.070429605745545       1.552844555638643
205                      1.7E-5                   0                        10.583151828434417       1.6331580902858036
215                      1.7E-5                   0                        11.095976554940584       1.7135333855094679
225                      1.7E-5                   0                        11.608770715391557       1.7939631815379684
235                      1.7E-5                   0                        12.121080009694175       1.8744492774411476
245                      1.7E-5                   0                        12.632929275316847       1.9549984755126353
255                      1.7E-5                   0                        13.1443507589468         2.0356126064163824
265                      1.7E-5                   0                        13.655434547416256       2.1162937813731837
