 ,Area,Mean,StdDev,Min,Max,Angle,Circ.,AR,Round,Solidity,Length
1,0.020,123.321,18.719,72,160,90,0.097,0.000,0.000,NaN,1.625
2,0.021,121.257,16.836,71,155,90,0.094,0.000,0.000,NaN,1.688
3,0.021,119.398,18.093,52,169,90,0.096,0.000,0.000,NaN,1.650
4,0.021,114.037,15.613,65,152,90,0.094,0.000,0.000,NaN,1.688
5,0.021,111.008,17.882,64,162,90,0.096,0.000,0.000,NaN,1.650
6,0.022,109.168,15.905,63,155,90,0.089,0.000,0.000,NaN,1.775
7,0.023,109.170,16.332,63,163,90,0.087,0.000,0.000,NaN,1.825
8,0.023,104.000,16.470,63,147,90,0.085,0.000,0.000,NaN,1.863
9,0.022,106.928,16.113,54,153,90,0.092,0.000,0.000,NaN,1.713
10,0.021,102.278,14.396,56,133,90,0.096,0.000,0.000,NaN,1.650
11,0.022,104.930,14.394,63,140,90,0.089,0.000,0.000,NaN,1.775
12,0.022,103.770,17.463,45,152,90,0.092,0.000,0.000,NaN,1.725
13,0.023,101.389,16.191,51,153,90,0.088,0.000,0.000,NaN,1.788
14,0.021,96.398,16.960,43,137,90,0.096,0.000,0.000,NaN,1.650
15,0.023,103.694,15.461,61,148,90,0.087,0.000,0.000,NaN,1.825
16,0.021,114.169,17.134,59,159,90,0.094,0.000,0.000,NaN,1.688
