% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f29-1.mph
% Version:            COMSOL 6.2.0.290
% Date:               Aug 8 2024, 11:25
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
45                       1.1E-5                   0                        1.7630564199386285       0.17580470408751836
55                       1.1E-5                   0                        2.1544701331369396       0.2149780650677542
65                       1.1E-5                   0                        2.545777452796333        0.2541702998809967
75                       1.1E-5                   0                        2.9369560165275352       0.2933794983647644
85                       1.1E-5                   0                        3.3279827941901665       0.3326049137369971
95                       1.1E-5                   0                        3.7187493844890973       0.37184600205081964
105                      1.1E-5                   0                        4.108961556293863        0.41110759501728467
115                      1.1E-5                   0                        4.49870330188029         0.4503960312526658
125                      1.1E-5                   0                        4.888126671732692        0.48971352604798213
135                      1.1E-5                   0                        5.277240764856295        0.5290596964847474
145                      1.1E-5                   0                        5.666051053500418        0.5684348072118119
155                      1.1E-5                   0                        6.054568922986036        0.607838631224844
165                      1.1E-5                   0                        6.443080080652788        0.6472714844837135
175                      1.1E-5                   0                        6.83163833453732         0.6867284886825296
185                      1.1E-5                   0                        7.220193294824394        0.7262061467909398
195                      1.1E-5                   0                        7.6087202474178          0.76570264959647
205                      1.1E-5                   0                        7.9971638383560375       0.8052160931007961
215                      1.1E-5                   0                        8.385015307011564        0.8447461836329495
225                      1.1E-5                   0                        8.772246233871343        0.8842975830600501
235                      1.1E-5                   0                        9.158913785781408        0.9238737481348807
245                      1.1E-5                   0                        9.545225381354935        0.9634820264789212
255                      1.1E-5                   0                        9.933795585706907        1.0031180664077262
265                      1.1E-5                   0                        10.320644620485659       1.0427887051873448
