% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f29-1.mph
% Version:            COMSOL 6.2.0.290
% Date:               Aug 8 2024, 11:26
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
45                       1.3E-5                   5.0E-4                   1.9685852765673353       0.1974582251004584
55                       1.3E-5                   5.0E-4                   2.4055999190749766       0.24145795145689064
65                       1.3E-5                   5.0E-4                   2.8424584099484704       0.2854797996373897
75                       1.3E-5                   5.0E-4                   3.279134484242455        0.32952223873381215
85                       1.3E-5                   5.0E-4                   3.7155178628818675       0.37358475668063207
95                       1.3E-5                   5.0E-4                   4.151235131474081        0.41767338342893723
105                      1.3E-5                   5.0E-4                   4.586381944508634        0.4617964606955063
115                      1.3E-5                   5.0E-4                   5.021131187698529        0.5059561296083182
125                      1.3E-5                   5.0E-4                   5.455489138793183        0.550152061130941
135                      1.3E-5                   5.0E-4                   5.889471817986827        0.5943843518220397
145                      1.3E-5                   5.0E-4                   6.323231532893466        0.6386532451437006
155                      1.3E-5                   5.0E-4                   6.75706699059339         0.6829543616287417
165                      1.3E-5                   5.0E-4                   7.190901664497662        0.7272820604589185
175                      1.3E-5                   5.0E-4                   7.624702661912291        0.7716333465808773
185                      1.3E-5                   5.0E-4                   8.058355003655663        0.8160060572778285
195                      1.3E-5                   5.0E-4                   8.491305045273336        0.8604009506817256
205                      1.3E-5                   5.0E-4                   8.923424233572419        0.9048233877185474
215                      1.3E-5                   5.0E-4                   9.355042456663398        0.9492822287975606
225                      1.3E-5                   5.0E-4                   9.788283602529532        0.9937709772521721
235                      1.3E-5                   5.0E-4                   10.220135786152717       1.0383093090599864
245                      1.3E-5                   5.0E-4                   10.652101011295887       1.0828815445826265
255                      1.3E-5                   5.0E-4                   11.084137884092517       1.127484727814526
265                      1.3E-5                   5.0E-4                   11.516182430181804       1.1721163077911356
