% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f29-1.mph
% Version:            COMSOL 6.2.0.290
% Date:               Aug 8 2024, 11:27
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
45                       1.3E-5                   -5.0E-4                  1.9654848968899792       0.27482715267427693
55                       1.3E-5                   -5.0E-4                  2.401809321309443        0.33604069640114886
65                       1.3E-5                   -5.0E-4                  2.837977975483966        0.3972759581553653
75                       1.3E-5                   -5.0E-4                  3.2739649751395774       0.4585308901558527
85                       1.3E-5                   -5.0E-4                  3.7096640593757897       0.5198048775926623
95                       1.3E-5                   -5.0E-4                  4.144699793033109        0.5811061916350191
105                      1.3E-5                   -5.0E-4                  4.579163537156148        0.6424467553399289
115                      1.3E-5                   -5.0E-4                  5.0132292121114475       0.7038297850052295
125                      1.3E-5                   -5.0E-4                  5.446903884559237        0.7652547057854981
135                      1.3E-5                   -5.0E-4                  5.88020358488696         0.8267219332148663
145                      1.3E-5                   -5.0E-4                  6.313271878346683        0.8882309526898453
155                      1.3E-5                   -5.0E-4                  6.74641505331055         0.9497794767590726
165                      1.3E-5                   -5.0E-4                  7.179556331547651        1.0113664864318785
175                      1.3E-5                   -5.0E-4                  7.612663757378641        1.0729911222804134
185                      1.3E-5                   -5.0E-4                  8.045634452208034        1.1346555085682475
195                      1.3E-5                   -5.0E-4                  8.477908463884564        1.1963596660510625
205                      1.3E-5                   -5.0E-4                  8.909354607920484        1.2581121529464134
215                      1.3E-5                   -5.0E-4                  9.34029485522149         1.3199194543105897
225                      1.3E-5                   -5.0E-4                  9.772829935035453        1.381769507298305
235                      1.3E-5                   -5.0E-4                  10.20398080433958        1.4436899866894457
245                      1.3E-5                   -5.0E-4                  10.63524366714174        1.5056556173667666
255                      1.3E-5                   -5.0E-4                  11.066580107988127       1.5676605344305052
265                      1.3E-5                   -5.0E-4                  11.497932673049075       1.6297025107164949
