% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_150keV_Apiezon_f37.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 22 2024, 13:59
% Table:              Table 6 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
40                       7.0E-6                   5.0E-4                   0.8875273936905828       0.05022688666108266
50                       7.0E-6                   5.0E-4                   1.1090190420582289       0.06281350783393336
60                       7.0E-6                   5.0E-4                   1.3305365190578051       0.07540928044548778
70                       7.0E-6                   5.0E-4                   1.5520441787034507       0.08801197470691946
80                       7.0E-6                   5.0E-4                   1.773532501378476        0.1006205308031447
90                       7.0E-6                   5.0E-4                   1.9949974170938987       0.1132342041035912
100                      7.0E-6                   5.0E-4                   2.216435163776687        0.12585249284881428
110                      7.0E-6                   5.0E-4                   2.437824753633709        0.1384749631916442
120                      7.0E-6                   5.0E-4                   2.6591688239128857       0.15110146067685903
130                      7.0E-6                   5.0E-4                   2.880467781781352        0.1637318417241005
140                      7.0E-6                   5.0E-4                   3.101712401835737        0.1763660560996314
150                      7.0E-6                   5.0E-4                   3.3229013835704357       0.1890040437862659
160                      7.0E-6                   5.0E-4                   3.54403173249284         0.20164577060240418
170                      7.0E-6                   5.0E-4                   3.764926012932854        0.21429090676994633
180                      7.0E-6                   5.0E-4                   3.9856275173292985       0.22694057823272118
190                      7.0E-6                   5.0E-4                   4.206153318452547        0.23959548746099202
200                      7.0E-6                   5.0E-4                   4.426513341736111        0.25225609139105387
210                      7.0E-6                   5.0E-4                   4.646778598938969        0.2649227353567909
220                      7.0E-6                   5.0E-4                   4.866934330354773        0.2775952986478316
230                      7.0E-6                   5.0E-4                   5.08697874396394         0.29027384337856077
240                      7.0E-6                   5.0E-4                   5.306912277047221        0.30295817875150277
250                      7.0E-6                   5.0E-4                   5.526738121297136        0.3156484546239504
260                      7.0E-6                   5.0E-4                   5.746458849588667        0.3283446382771835
270                      7.0E-6                   5.0E-4                   5.966074478009798        0.34104667044721637
280                      7.0E-6                   5.0E-4                   6.185648750032573        0.3537548581026577
290                      7.0E-6                   5.0E-4                   6.4053075606813366       0.3664691090372685
300                      7.0E-6                   5.0E-4                   6.624977291351392        0.3791886405913658
310                      7.0E-6                   5.0E-4                   6.8446484801996625       0.39191309759042525
320                      7.0E-6                   5.0E-4                   7.064315674460449        0.4046421588839344
330                      7.0E-6                   5.0E-4                   7.283974912449203        0.41737546162465833
340                      7.0E-6                   5.0E-4                   7.503622426939604        0.43011289690047505
350                      7.0E-6                   5.0E-4                   7.723253825166513        0.4428543986368396
360                      7.0E-6                   5.0E-4                   7.942865503724622        0.4555996814827452
370                      7.0E-6                   5.0E-4                   8.16215827769119         0.46834814891386856
380                      7.0E-6                   5.0E-4                   8.381240706915516        0.4811004799221763
