 ,Area,Mean,StdDev,Min,Max,Angle,Circ.,AR,Round,Solidity,Length
1,0.016,139.592,11.770,105,168,90,0.087,0.000,0.000,NaN,1.517
2,0.016,146.846,16.152,117,184,90,0.085,0.000,0.000,NaN,1.538
3,0.016,136.470,13.601,100,174,90,0.084,0.000,0.000,NaN,1.558
4,0.015,132.156,18.450,83,174,90,0.094,0.000,0.000,NaN,1.392
5,0.017,136.222,11.801,105,174,90,0.083,0.000,0.000,NaN,1.579
6,0.015,122.907,10.978,93,152,90,0.091,0.000,0.000,NaN,1.444
7,0.017,130.123,11.170,104,160,90,0.083,0.000,0.000,NaN,1.590
8,0.016,124.954,12.668,94,158,90,0.084,0.000,0.000,NaN,1.569
9,0.017,122.838,10.685,95,146,90,0.083,0.000,0.000,NaN,1.590
10,0.016,124.774,10.870,95,174,90,0.087,0.000,0.000,NaN,1.506
11,0.015,125.803,14.213,93,166,90,0.093,0.000,0.000,NaN,1.413
12,0.017,125.019,11.636,99,157,90,0.080,0.000,0.000,NaN,1.642
13,0.016,125.373,11.853,96,156,90,0.085,0.000,0.000,NaN,1.548
14,0.016,137.365,12.825,114,174,90,0.086,0.000,0.000,NaN,1.527
15,0.014,118.821,12.757,92,169,90,0.095,0.000,0.000,NaN,1.382
