% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_1200keV_Apiezon_f29.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 22 2024, 08:57
% Table:              Table 3 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
25                       2.2E-5                   -5.0E-4                  10.28297745020036        2.9099690211302978
25.5                     2.2E-5                   -5.0E-4                  10.487137687300084       2.968578074937593
26                       2.2E-5                   -5.0E-4                  10.691315461914257       3.027198412743349
26.5                     2.2E-5                   -5.0E-4                  10.895505550221703       3.0858311168984507
27                       2.2E-5                   -5.0E-4                  11.099706707192912       3.144475094918306
27.5                     2.2E-5                   -5.0E-4                  11.303917647663347       3.2031293317345053
28                       2.2E-5                   -5.0E-4                  11.508107646392855       3.261793628324387
28.5                     2.2E-5                   -5.0E-4                  11.712199883241347       3.320470125350866
29                       2.2E-5                   -5.0E-4                  11.916215425075379       3.3791562899027774
29.5                     2.2E-5                   -5.0E-4                  12.120156546845976       3.4378500411659907
30                       2.2E-5                   -5.0E-4                  12.324023654287522       3.496553064531735
30.5                     2.2E-5                   -5.0E-4                  12.527823086384714       3.5552637365831785
31                       2.2E-5                   -5.0E-4                  12.731553503790153       3.6139817590823853
