% Model:              BeamAdsorber_3D+2D__20K_sensorVarCurr_2400keV_Apiezon_f37_FINAL.mph
% Version:            COMSOL 6.2.0.290
% Date:               May 22 2024, 13:56
% Table:              Table 6 - Global Evaluation 2
% Iop (A)                hKapton (m)              SensPos (m)              REBCO (K)                Sensor (K)
0                        9.0E-6                   5.0E-4                   9.237055564881302E-14    -6.430411758628907E-13
5                        9.0E-6                   5.0E-4                   1.7311303998387295       0.13444814402597416
10                       9.0E-6                   5.0E-4                   3.4594617839655193       0.269400754441925
15                       9.0E-6                   5.0E-4                   5.18133950541748         0.40469781769517965
20                       9.0E-6                   5.0E-4                   6.897401199328328        0.5404522327775965
25                       9.0E-6                   5.0E-4                   8.611458113326119        0.67656576143645
30                       9.0E-6                   5.0E-4                   10.31801478703418        0.8130587507488336
35                       9.0E-6                   5.0E-4                   12.02763532118827        0.9498903987351106
40                       9.0E-6                   5.0E-4                   13.730891079188666       1.0870721262197875
45                       9.0E-6                   5.0E-4                   15.432423342926327       1.2246370021740098
50                       9.0E-6                   5.0E-4                   17.13155891489844        1.3625407321803031
55                       9.0E-6                   5.0E-4                   18.82655384312914        1.5008028801062814
60                       9.0E-6                   5.0E-4                   20.520588646745736       1.6394124342537673
65                       9.0E-6                   5.0E-4                   22.214164729737888       1.7783265668486194
70                       9.0E-6                   5.0E-4                   23.907147418292084       1.917513263249134
75                       9.0E-6                   5.0E-4                   25.59922465445706        2.056957907865751
80                       9.0E-6                   5.0E-4                   27.288864631579187       2.1966537681679803
85                       9.0E-6                   5.0E-4                   28.976254269330916       2.336611314711984
90                       9.0E-6                   5.0E-4                   30.664040609122225       2.47681206958573
