 ,Area,Mean,StdDev,Min,Max,Angle,Circ.,AR,Round,Solidity,Length
1,0.029,134.067,13.191,93,173,90,0.107,0.000,0.000,NaN,1.827
2,0.027,126.009,10.835,96,156,90,0.112,0.000,0.000,NaN,1.749
3,0.030,122.425,11.977,87,155,90,0.101,0.000,0.000,NaN,1.950
4,0.026,121.436,12.511,94,155,90,0.116,0.000,0.000,NaN,1.687
5,0.028,124.076,11.984,95,166,90,0.108,0.000,0.000,NaN,1.811
6,0.026,118.330,10.509,88,140,90,0.117,0.000,0.000,NaN,1.672
7,0.027,120.167,12.135,87,158,90,0.112,0.000,0.000,NaN,1.749
8,0.026,113.019,10.999,86,138,90,0.119,0.000,0.000,NaN,1.656
9,0.027,117.598,12.735,77,144,90,0.114,0.000,0.000,NaN,1.718
10,0.028,117.296,12.259,87,154,90,0.111,0.000,0.000,NaN,1.765
11,0.024,115.119,11.372,78,143,90,0.127,0.000,0.000,NaN,1.548
12,0.028,114.179,11.313,79,150,90,0.109,0.000,0.000,NaN,1.796
13,0.026,112.963,10.665,82,136,90,0.119,0.000,0.000,NaN,1.656
14,0.029,112.992,11.455,77,172,90,0.107,0.000,0.000,NaN,1.827
15,0.027,105.865,16.287,45,133,90,0.115,0.000,0.000,NaN,1.703
16,0.034,99.324,10.418,61,126,90,0.090,0.000,0.000,NaN,2.183
