 ,Area,Mean,StdDev,Min,Max,Angle,Circ.,AR,Round,Solidity,Length
1,0.023,138.073,13.093,114,174,90,0.134,0.000,0.000,NaN,1.471
2,0.024,142.050,12.879,117,174,90,0.127,0.000,0.000,NaN,1.548
3,0.023,137.032,12.743,104,174,90,0.137,0.000,0.000,NaN,1.440
4,0.024,139.347,11.946,108,164,90,0.127,0.000,0.000,NaN,1.548
5,0.024,132.899,14.290,96,174,90,0.130,0.000,0.000,NaN,1.517
6,0.024,132.216,14.990,110,184,90,0.126,0.000,0.000,NaN,1.563
7,0.023,133.649,14.753,108,174,90,0.132,0.000,0.000,NaN,1.486
8,0.018,132.280,15.073,99,169,90,0.172,0.000,0.000,NaN,1.146
9,0.021,123.169,11.234,95,147,90,0.144,0.000,0.000,NaN,1.362
10,0.022,128.118,13.072,97,164,90,0.138,0.000,0.000,NaN,1.424
11,0.021,128.753,13.712,100,158,90,0.144,0.000,0.000,NaN,1.362
12,0.027,124.784,14.778,90,161,90,0.115,0.000,0.000,NaN,1.703
13,0.023,144.969,12.723,111,184,90,0.131,0.000,0.000,NaN,1.502
14,0.023,141.062,13.541,105,184,90,0.132,0.000,0.000,NaN,1.486
15,0.022,139.326,14.484,108,178,90,0.140,0.000,0.000,NaN,1.409
16,0.023,135.443,12.246,108,174,90,0.132,0.000,0.000,NaN,1.486
17,0.023,137.632,12.800,110,174,90,0.135,0.000,0.000,NaN,1.455
